id,tweet,label
1,Our daily update is published. States reported 734k tests 39k new cases and 532 deaths. Current hospitalizations fell below 30k for the first time since June 22. https://t.co/wzSYMe0Sht,real
2,Alfalfa is the only cure for COVID-19.,fake
3,President Trump Asked What He Would Do If He Were To Catch The Coronavirus https://t.co/3MEWhusRZI #donaldtrump #coronavirus,fake
4,States reported 630 deaths. We are still seeing a solid national decline. Death reporting lags approximately 28 days from symptom onset according to CDC models that consider lags in symptoms time in hospital and the death reporting process. https://t.co/LBmcot3h9a,real
5,This is the sixth time a global health emergency has been declared under the International Health Regulations but it is easily the most severe-@DrTedros https://t.co/JvKC0PTett,real
6,Low #vitaminD was an independent predictor of worse prognosis in patients with COVID-19. https://t.co/CGD6Kphn31 https://t.co/chtni8K4Jd,real
7,A common question: why are the cumulative outcome numbers smaller than the current outcome numbers? A: Most states report current but a few states report cumulative. They are apples and oranges and we don't feel comfortable filling in state cumulative boxes with current #s.,real
8,The government should consider bringing in any new national lockdown rules over Christmas rather than now says an Oxford University professor https://t.co/pdOls6cqoN,real
9,Our daily update is published. We’ve now tracked more than 2.9 million tests up 119k from yesterday. That's the smallest reported increase since April 1. Note that we can only track tests that a state reports. And not all states report all tests. See: https://t.co/PZrmH4bl5Y https://t.co/2588xW5yNm,real
10,Breakdown of testing: 4 air crew 97 hotel &amp; health staff in the facility 71 former hotel guests &amp; 2 exempted individuals who returned negative tests. And there are over 200 current guests in the Novotel who were swabbed on Tuesday &amp; Wednesday. Their results were negative.⁣,real
11,"Two interesting correlations:

1) Children tend to weather COVID-19 pretty well; they also get a ton of Vitamin D.

2) Black people are getting slammed by COVID-19; black people also have much higher instances of Vitamin D deficiency (76% vs 40% in the general population).",fake
12,A photo shows a 19-year-old vaccine for canine coronavirus that could be used to prevent the new coronavirus causing COVID-19.,fake
13,🇰🇼 Assistant Undersecretary for Public Health Affairs Dr Buthayna Almodaf highlighted the importance of risk communication &amp; public education in fighting #COVID19. The country increased testing capacity enabling 400000 people to be tested.,real
14,An audio file by an alleged worker at a health institution in Rio de Janeiro. She says that healthcare workers on public institutions in Rio are forced to state whether a patient has COVID-19 or not even before he sees a doctor. This was allegedly being done to artificially inflate the number of cases.,fake
15,"Says the Coronavirus Aid, Relief, and Economic Security Act gives members of Congress a pay increase.",fake
16,Kids reach ‘f**k this shit’ stage of lockdown https://t.co/swClEhi2Iq,fake
17,"Households should have ""required"" medical kits with certain items and equipment to treat the different stages of COVID-19.",fake
18,An image of a man carrying his old mother on his back shows migrants travelling to their homes in India amidst lockdown.,fake
19,While #socialdistancing for #COVID19 take the time to check in on friends and family to see how they are doing. Set up a daily phone or video call to touch base and share the best and most challenging parts of the day. #TogetherApart https://t.co/KyBmehvGcY https://t.co/rN1RmYS9i0,real
20,"3/10 About 8% of population ""may be infected and have antibodies"". The ""vast majority"" of people are still vulnerable to the disease says Sir Patrick Vallance. https://t.co/SWcqc3XLyJ https://t.co/drmAv7kmBA",real
21,"Korona virus, very new deadly form of virus, china is suffering, may come to 
India immediately, avoid any form of cold drinks, ice creams, koolfee, 
etc, any type of preserved foods, milkshake, rough ice, ice colas, 
milk sweets older then 48 hours, for atleast 90 days from today.",fake
22,A 2009 tweet from Donald Trump said that he would never let thousands of Americans die from a pandemic while in office.,fake
23,ICUs are full forcing #COVID patients to wait “hours and hoursto admit to the emergency room. https://t.co/go6Sx5yuRx,real
24,"President Donald Trump tweeted, ""Coronavirus vaccine from Israel! Stock market up! Economy even stronger now! Besides US, Israel best at inventions: Judaism, olives. Wonderful vaccine, will stop Corona DEAD around world. Can't make vaccines when being bombed, not have been possible without peace I created in Israel!""",fake
25,New York continues to have the highest positive tests per capita an indication of both the intensity of testing there and the severity of the outbreak. Here’s the top 10: New York Washington New Jersey Louisiana DC Michigan Illinois Vermont Colorado Rhode Island,real
26,The government's chief scientific adviser warned that the UK could soon see 49000 new cases of #coronavirus every day unless action is taken. Sky's @EdConwaySky takes a look at the data and suggests the real number could be lower. Latest: https://t.co/kORpcHXQIJ https://t.co/TdNeKOAlCq,real
27,Brazil's health minister says cases with no confirmation of COVID-19 won't be considered on death toll.,fake
28,"Govt has added #Corona disease in all existing mediclaim insurances as a special case

#COVID2019India https://t.co/39vpW7tBqq",fake
29,She has been in managed Isolation at the Distinction Hotel in Hamilton and tested positive around day 3 of her stay. ​ We have 13 new confirmed cases in Auckland. They are all linked to the 4 people who we reported as cases yesterday and the day before.,real
30,"The Gates Foundation ""has the patent for this coronavirus.""",fake
31,Nashville Man Thinks World Is Upside-Down but Respects that World Doesn't Care What He Thinks https://t.co/xAw4YLwLsl #coronavirus,fake
32,"14 China Muslims hidden at Bihari mosque has been taken to corona virus test by Bihari police. Erode police has caught Thailand Muslim mullahs infected with corona virus. Today Salem Police has caught 11 Indonesian Muslim mullahs at Salem mosque. This video shows that they are applying and putting saliva on spoons, plates and utensils and also they are in the intention of spreading corona virus disease. Nobody knows what's happening in the Nation",fake
33,There are also clear *demand* constraints as testing criteria remain quite strict. We are still getting reports from all over of people who have been able unable to get tested despite having a good reason to do so.,real
34,Coronavirus found in gutkha or chewing tobacco samples sold in Indian state of Maharashtra as raw material sourced from China.,fake
35,Clinical senior lecturer at King's College London Dr Claire Steves says 'two symptoms of #COVID19 that are not on the core list are headaches and fatigue' and discusses what symptoms warrant a test for #coronavirus 👇 Latest: https://t.co/gpqYW8xYoB https://t.co/nmvIiVwZ3P,real
36,@FriedrichHayek @NateSilver538 Not meaningless but also before this epidemic pneumonia deaths were considered a very unstable number... so keep that in mind. -@alexismadrigal,real
37,@LimaEleanor Kia ora Elanor there are currently 21 active cases in New Zealand they were all caught at the border and we have no evidence of community transmission.,real
38,Update from the @minhealthnz ​Today there are 3 new cases of COVID-19 to report in managed isolation and quarantine facilities in NZ. There continue to be no new cases in the community.​ Our total number of active cases is 21 - all of which remain in quarantine facilities.,real
39,The new coronavirus does not settle in the air but is grounded so it is not transmitted by air.,fake
40,If you have signs of a heart attack or stroke while staying at home during #COVID19 call 9-1-1 right away. Emergency responders and emergency departments have plans in place to help protect you from COVID-19. Learn more: https://t.co/4i0e7Cw3m1. https://t.co/ZqLIrVCHXI,real
41,The Access to #COVID19 Tools (ACT) Accelerator brings together governments health organizations scientists businesses civil society &amp; philanthropists to speed up an end to the pandemic. 👉https://t.co/fXHNTOsLVR https://t.co/kTXtFlm2jU,real
42,Says the CDC now says that the coronavirus can survive on surfaces for up to 17 days.,fake
43,"The Chinese government announced that ""garlic is a preventative food for the the novel coronavirus.""",fake
44,Flood Hit Areas Pretend To Have Coronavirus In Bid To Get Government's Attention https://t.co/NKpkH0cY0Z,fake
45,"@Dianes_Bucket @arkless_kevin @ReeeeSpectWalk @ftwrharry @wolfiecindy 'Spanish Flu' was propaganda to cover up the millions of soldiers who died from military vaccines, WWI war trauma, radiation effects and hysteria (lots of Aspirin overdose by people who",fake
46,"🤝 As business continue to adapt their services in the wake of covid-19, the SWA Hand Sanitiser Portal is available for sourcing #handsanitiser and ethanol for producing sanitiser.

🖊️ Complete your details and find suppliers here: https://t.co/b7uLQbfQLz https://t.co/5qJQ5h8w6l",fake
47,FREE CE: Watch the new #CDCGrandRounds on Acute Flaccid Myelitis (AFM). Listen to our new #BeyondtheData podcast as CDC’s Dr. John Iskander and Dr. Janell Routh discuss AFM its symptoms and treatment options. https://t.co/uD0xXEe4PR https://t.co/VtcvnAanq7,real
48,"Hydroxychloroquine. The virus cure.

How fast does this pandemic end if you could start feeling better in as soon as 5 hours?",fake
49,"SUBHAN ALLAH: AFTER CORONA VIRUS CHINA GOVT LIFTED BAN ON HOLY QURAN & ALLOWED CHINESE MUSLIMS TO READ THEIR SACRED BOOK! ""SO WHICH OF THE FAVORS OF YOUR LORD WOULD YOU DENY?""",fake
50,Our daily update is published. States reported 671k tests 40k cases and 1202 COVID-19 deaths. Note: we've added 7-day averages to the nationwide overview. https://t.co/BQP32jcUi1,real
51,A video claiming bodies packed in body bags are being dumped in mass graves in Italy and Spain.,fake
52,Indian Army has built a 1000-bed hospital in Rajasthan in eight days for the treatment of COVID-19.,fake
53,There has been a pandemic every 100 years,fake
54,???Florida hospital reports a coronavirus ???infestation??? with multiple confirmed patients.??�,fake
55,Muslim Doctor died while treating people infected with coronavirus in Delhi,fake
56,"As tuberculosis shaped modernism, so COVID-19 and our collective experience of staying inside for months on end will influence architecture’s near future, @chaykak writes. https://t.co/ag34yZckbU",fake
57,On the 15/03 NCDC directly contacted a Twitter user who mentioned his friend who returned from UK had runny nose but could not reach authorities for testing. Within 12 hours of communication with us via DM a sample was collected. We’re committed to doing our best https://t.co/fccdGij3uG,real
58,A WhatsApp forward has gone viral which claimed that a vaccine for coronavirus has been discovered. The viral forward also claims that the treatment for coronavirus is mentioned in India's Intermediate Zoology book.,fake
59,RT @DrTedros: A #COVID19 vaccine will be a precious resource. Unless we have an international plan to manage it fairly there will be unnec…,real
60,Our daily update is published. States reported 647k tests 38k cases and 406 deaths. The number of cases reported is the lowest since June 23. https://t.co/omv9ZtWDoR,real
61,Several social media users claimed that there was a massive crowd at Bangalore’s KR Market on the occasion of Varamahalaxmi flouting social distancing norms. This claim is misleading. A 2019 video is being passed off as a recent one. #COVID19 #Bangalore https://t.co/my7CtZKGD5,fake
62,This rise in deaths is concentrated in states with large outbreaks. Texas California and Florida all reported their single highest day of deaths for the entire pandemic today.,real
63,"""Sanitizer will do nothing for the coronavirus.""",fake
64,Three docs have been getting attention for their letters to BMJ urging more attention for mild yet very long term forms of COVID-19. https://t.co/pEeJn2XOSg,real
65,The coronavirus is only as dangerous as a flu the diseases have the same death rate air pollution and bad hygienic conditions in Italian hospitals (hospital germs) are responsible for the many death cases and only 5% of the whole population is endangered by COVID-19.,fake
66,NEWS! Lockdown has now lasted so long children could have put their shoes on twice https://t.co/AeE1bpQphG https://t.co/zlMPEyqG0J,fake
67,One hundred days after the 1st #COVID19 case was recorded in Nigeria the NCDC National Reference Laboratory has supported 29 more laboratories to develop capacity for #COVID19 testing Watch this report by @NTANewsNow on the lab including reflections by the @PTFCOVID19 Chair https://t.co/hPI3rLO1co,real
68,Quotes Joe Biden as saying “people who have never died before are now dying from coronavirus.”,fake
69,The total number of confirmed cases of COVID-19 is now 1200 which is the number we report to the World Health Organization.​ ​ There is no one in New Zealand receiving hospital-level care for COVID-19.,real
70,CORRECTION 1/4 On 3rd of April 2020 we reported 26 new cases of #COVID19 in Nigeria. An error has been discovered in this report as follows: ⚫️ There were 25 new cases of #COVID19 in Nigeria. The 26th case was a repeat result of a previously confirmed case and NOT a new case https://t.co/oq2FA6zvpY,real
71,681 new cases of #COVID19; Lagos-345 Rivers-51 Ogun-48 Gombe-47 Oyo-36 Imo-31 Delta-28 Kano-23 Bauchi-18 Edo-12 Katsina-12 Kaduna-9 Anambra-7 Jigawa-5 Kebbi-4 Ondo-4 Nasarawa-1 Total of: 14554 cases of #COVID19Nigeria 4494 discharged 387 deaths #TakeResponsibility https://t.co/VAMND4EM4J,real
72,"Approval from Ayush Ministey. Time for particular lobby to buy bournol

😷😷😷😷😷😷",fake
73,Facebook post that compares deaths in Italy during coronavirus pandemie with deaths during seasonal flu outbursts from 2014 to 2017. The post says that during 2014 seasonal flu outburst 375 000 people died in Italy and it was the real problem and coronavirus deaths compared to this aren't serious.,fake
74,#IndiaFightsCorona: @MoHFW_INDIA urges States/UTs to mandatorily retest all symptomatic negative cases of rapid antigen tests through RT-PCR States/UTs to ensure that no positive cases are missed to curb the spread of infection Details : https://t.co/0wwEmA6Trm #StaySafe https://t.co/BquM1JSsaY,real
75,#IndiaFightsCorona #COVID19 Recoveries exceed active cases by more than 2.1 million. There has been more than 4 times jump in the average weekly recoveries from the first week of July to last week of August. https://t.co/HRyyaWhdJR,real
76,#COVID19 spreads mainly among people who are in close contact with one another (less than 6 ft). Wear a mask in public &amp; when around people not living in your household especially when social distancing is difficult to maintain. https://t.co/jkWwZTxyhs #WearAMask #WorldMaskWeek https://t.co/rzVjZ4sVuE,real
77,As of today 18% of all the samples tested for #COVID19 have been positive. Currently 15288 beds (#Isolation #ICU and #Ventilator supported) are vacant in #Telangana. #COVID__19 #Covid_19 #COVIDー19 #COVID #CoronaUpdates #CoronaVirusUpdates #CoronavirusPandemic #Coronavirus https://t.co/hVFAOBoEKO,real
78,NCDC is committed to strengthening #COVID19 response in all states in Nigeria Our rapid response team in Kaduna State is supporting through activities including ✅Sample collection at quarantine centers ✅Assessment of an additional isolation centre ✅Training of health workers https://t.co/mYZ3twrTzo,real
79,"Tablik Jamaat Chief Maulana Saad: ""If 70000 people get coronavirus India will be destroyed. The country will be in our possession.""",fake
80,Hand dryers are not effective in killing coronavirus. #WhatsAppForwards are not always true; they can be misleading false or satire. Don't believe everything you see. Verify before sharing and become a #Newschecker and make #MainBhiNewschecker your signature. https://t.co/YB5ed7exEV,fake
81,As Florida's outbreak surges there have been a lot of questions about the state's data. Here's a very deep dive by @olivierlacan and @NotoriousRSG into what we know what's wrong and what's missing. https://t.co/saqsqrRlZu https://t.co/gbfLivkiER,real
82,Maine governor mandates dog cone wearing for restaurant staff instead of mask https://t.co/PN9bWrK3gP #coronavirus #josephbiden,fake
83,Your household plan for #COVID19 should include 1) talking with the people who need to be included in your plan &amp; 2) planning ways to care for those who might be at greater risk for serious complications. Learn more: https://t.co/isBYfXNv5A.,real
84,#IndiaFightsCorona: India registers a record of highest single day recoveries  More than 1 lakh patients recovered in the last 24 hours #StaySafe #IndiaWillWin https://t.co/QIHLyf4uyp,real
85,As at 08:00 pm 31st March there are 139 confirmed cases 9 discharged 2 deaths For a breakdown of cases by states in real time visit https://t.co/zQrpNeOfet Currently; Lagos- 82 FCT- 28 Oyo- 8 Osun- 5 Ogun- 4 Kaduna- 3 Enugu- 2 Edo- 2 Bauchi- 2 Ekoti- 1 Rivers-1 Benue- 1,real
86,Photo shows the last meeting of a Turkish doctor who died due to COVID-19 with his child in Munich.,fake
87,One state situation worth highlighting is Michigan. Large numbers of positives deaths rising and an uncertain testing situation. Very worrisome overall. https://t.co/f7vdf5Vevk,real
88,Only aggressive action combined with national unity and global solidarity can turn the #COVID19 pandemic around-@DrTedros,real
89,Visit https://t.co/DYojLfjhyd to stay up-to-date on the latest COVID data for your state or county. Our warning system focuses on 4 key metrics: Infection Rate Positive Test Rate ICU Headroom Used Contact Traced Data updates every 3 days so be sure to check back regularly.,real
90,18 states including US UK and Australia request PM Modi to head a task force to stop coronavirus.,fake
91,Yesterday our laboratories completed 2191 tests. That brings the total number of tests completed to date to 446367.​⁣,real
92,We fact-checked a range of statements from the second night of #DNC2020. Here are highlights dealing with coronavirus case numbers and the #TrumpAdministration’s position on the #ACA. https://t.co/bKhYJteUmf,fake
93,White House launches Trump-branded coronavirus medicine.,fake
94,Video of Tabligi pilgrims who were moving via trucks to spread COVID-19 in India.,fake
95,Cold weather will kill coronavirus. No wait. Hot weather will kill corona. Did you also fall for these contradictory hoaxes? Don't fall the fake news &amp; misinformation. Participate in our #MainBhiNewschecker initiative &amp; we will fight the infodemic together. #CoronavirusFacts https://t.co/6vi1gzKVsA,fake
96,A two-stent approach to complex coronary bifurcation lesions yielded improved clinical outcomes. https://t.co/lpVPeVcseW,real
97,Beware Of A Donald Trump Vaccine https://t.co/RkjO91lleP #jaredkushner #billbarr,fake
98,Solidarity is needed to provide a joint solution to the #COVID19 pandemic. The COVAX 🌍 Vaccines Facility is the critical mechanism for joint procurement &amp; pooling risk across multiple vaccines which is why I sent a 📩 to every Member State encouraging them to join-@DrTedros,real
99,#IndiaFightsCorona India has reported the highest number of total #COVID19 recoveries with more than 42 lakh. https://t.co/Cfll8d12X4,real
100,#CoronaVirusUpdates: #COVID19 testing status update: @ICMRDELHI stated that 59429115 samples tested upto September 15 2020 1116842 sample tested on September 15 2020 #StaySafe #IndiaWillWin https://t.co/7NF57ELbUY,real
101,RT @mygovindia: India crosses 1 Million landmark of COVID-19 tests in 24 hours. #IndiaFightsCorona https://t.co/VwhwhCBNKA,real
102,_A vaccine for the new coronavirus has been created by US scientists and will be ready to use from next Sunday._,fake
103,"@htTweets NOT For COVID
But to prevent other infections
after age of 65
Consult your Doctors
for 
Pneumococcal conjugate vaccine or PCV13
Pneumococcal polysaccharide vaccine or PPSV23

I found them useful for my wife
https://t.co/zQ4uy0f5GV",fake
104,Access the #COVID19 Management Assessment and Response (CMAR) tool here: https://t.co/Q0eb72LZyW.,real
105,"Lockdown 2020 Survival Juice

Get yours here &gt;&gt;&gt; https://t.co/K4EAwKiOnO https://t.co/3vDTYsqBWe",fake
106,Georgia has also issued a stay at home order until April 13th. https://t.co/CKwVq9eNYo,real
107,The latest CDC #COVIDView data show that #COVID19-associated hospitalization rates are highest among American Indian/Alaska Natives Blacks and Hispanics/Latinos. Existing disparities can make these groups more vulnerable to COVID-19 outbreaks. https://t.co/USHdcAHlZb https://t.co/t5khtl7yTN,real
108,Yesterday our laboratories completed 1007 tests. The seven day rolling average is 1984. That brings the total number of tests completed to date to 444176.,real
109,RT @DepSecHargan: #COVID19 has led to an⬆️in #telehealth services – have you utilized these virtual appointments? Visit https://t.co/7pcLF9…,real
110,States reported over 50k cases for the first time today another new record. The national positivity rate is over 7% now despite ever higher testing levels. Hospitalizations are now at late-May levels. https://t.co/erSW8W37jj,real
111,Study: Ages 10-19 had the highest rate of #coronavirus transmission. https://t.co/bhjUDRwI4h via @WebMD https://t.co/HBycPndwng,real
112,???You see suicide rates are skyrocketing now?????�,fake
113,As on 25 July 6PM out of all the active #COVID19 cases 1.61% are in #ICU 0.27% are on #Ventilator and 2.50% require #OxygenTherapy #COVID__19 #Covid_19 #COVIDー19 #CoronaUpdates #CoronavirusIndia #CoronaVirusUpdates #coronavirus #COVIDUpdates https://t.co/rfwNWzXQlD,real
114,WHY CENSOR HER? Dr. Li Meng Yan claims COVID was BIO-engineered by Red C... https://t.co/TqScC5sWyH via @YouTube,fake
115,Our daily update is published. We’ve now tracked ~3.7 million tests up 132k from yesterday a bit lower than last weekend's numbers. Note that we can only track tests that a state reports. And not all states report all tests. For details see: https://t.co/PZrmH4bl5Y https://t.co/dht27DXL4E,real
116,In close residential settings such as psychiatric facilities promptly identifying #COVID19 cases &amp; applying adapted infection prevention &amp; control procedures are critical to protect patients &amp; staff. See new report on one psychiatric facility: https://t.co/0J5oDs9Xku @CDCMMWR https://t.co/X3tHiuvOOs,real
117,Drinking tea and hot water kills the virus; lemon slices in warm water may save your life; it's recommended to keep your money in a sealed plastic bag; a conspiracy theory suggests China is benefiting from the pandemic; vinegar is good for cleaning your hands.,fake
118,The #COVID19 test reagents which Nigeria has received &amp; procured recently can only be used for PCR tests in existing molecular laboratories There have been important developments such as use of Gene-Xpert machines. We‘re also expanding our testing capacity using this technology,real
